Топик,Подтопик,Поисковой запрос,Текст
Развлечения,МТС Музыка,Как поделиться плейлистом,"Поделиться своим плейлистом можно с любым пользователем МТС Музыки, если у вас есть подписка. Как это сделать:

 1. Перейдите в Избранное > Плейлисты


2. Нажмите на три точки рядом с нужным плейлистом


3. Нажмите Поделиться"
Развлечения,МТС Музыка,"Что делать, если прерываются треки","Что делать, если прерываются треки
проверьте, загружаете ли вы другое приложение или файлы — это может замедлить работу МТС Музыки
отключите VPN, если он работает
проверьте скорость интернета с помощью бесплатного сервиса Speedtest
Если рекомендации не помогли, свяжитесь с нами в приложении МТС Музыка > Профиль > Написать в чат"
Развлечения,МТС Музыка,"Что делать, если пропала музыка","проверьте, что вы зашли в аккаунт, в который была добавлена музыка
если музыка пропала после того, как вы обновили приложение, выйдите из МТС Музыки и авторизуйтесь ещё раз
если названия песен отмечены серым цветом, их удалили по просьбе авторов
Если рекомендации не помогли, свяжитесь с нами в приложении МТС Музыка > Профиль > Написать в чат"
Развлечения,МТС Музыка,"Что делать, если после блокировки экрана iPhone музыка прерывается","Если музыка на вашем iPhone перестает играть через 30 секунд после блокировки экрана, сделайте следующее:

 1. Откройте Настройки телефона > Основные


2. Перейдите в Обновление контента


3. Откройте Обновление контента. Если вкладка Обновление контента неактивна, отключите режим энергосбережения


4. Выберите Wi-Fi и сотовые данные


5. Проверьте, что переключатель рядом с МТС Музыкой активен"
Развлечения,МТС Музыка,Сколько устройств можно подключить к своему профилю,"Вы можете подключить до пяти устройств к одному аккаунту. Как это сделать:

1. Откройте сайт или приложение МТС Музыка на новом устройстве

2. Войдите в аккаунт по номеру, на котором есть подписка

Преимущества подписки будут доступны на всех устройствах."
Развлечения,МТС Музыка,Как выйти из аккаунта МТС Музыки,"1. Откройте приложение МТС Музыка > Профиль


2. Нажмите Выйти


Выйти сразу со всех устройств нельзя. Это нужно делать вручную на каждом."
Развлечения,МТС Музыка,Почему я не вижу МТС Музыку в списке приложений Android Auto,"Почему я не вижу МТС Музыку в списке приложений Android Auto
Android Auto видит только те приложения, которые установили через Play Market. Поэтому, если вы скачали МТС Музыку из другого источника, она может не отображаться в Android Auto.

Чтобы это исправить, удалите МТС Музыку и установите её заново через Play Market. Другой вариант — включить неизвестные источники в настройках Android Auto на телефоне. Как это сделать:

1. Откройте настройки на телефоне > введите в поиске Android Auto > Настройки Android Auto

2. Нажмите Версия

3. Продолжайте нажимать на Сведения о версиях и разрешениях, пока не появится окно Изменение настроек, затем нажмите ОК

4. Нажмите на три точки вверху и выберите Для разработчиков

5. Прокрутите вниз и поставьте галочку напротив Неизвестные источники

6. Переподключите телефон к машине"
Развлечения,МТС Музыка,Как расходуется трафик при прослушивании треков,"Для клиентов МТС с подпиской на МТС Музыку или тарифом, в который она входит, трафик при прослушивании бесплатный. Без подписки он расходуется по вашему тарифу, из пакета интернета или подключённой опции, с 22 ноября 2024.

МТС Музыка тратит немного трафика для настройки рекомендаций и загрузки обложек, даже с подпиской. Чтобы слушать музыку онлайн, нужен интернет. Если он закончился, вы сможете слушать:

любую музыку через Wi-Fi или другую сеть
сохранённые треки и плейлисты офлайн, если есть подписка
О всех возможностях подписки на МТС Музыку рассказываем в статье Преимущества подписки"
Развлечения,МТС Музыка,Технические характеристики МТС Музыки,"музыку можно слушать в низком качестве — 192 kbps, и в высоком — 320 kbps. Чтобы включить высокое, в плеере нажмите на шестерёнку > Качество звука > Высокое. Настройки применятся на следующем треке. Чтобы текущая песня заиграла в высоком качестве, перезапустите её
формат музыкальных файлов AAC
поддерживает объёмный звук Dolby Atmos"
Развлечения,МТС Музыка,Настройка работы в фоновом режиме на Samsung,"Если в фоновом режиме приложение закрывается или воспроизведение зависает, чаще всего это связано с настройками энергосбережения на смартфоне.

Чтобы настроить работу в фоновом режиме, используйте инструкцию для вашей операционной системы

Android 12 и выше
1. Откройте Настройки > Приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

Разрешения > Отключите «Приостановить работу в неактивный период»
Батарея > Переключите на «Не ограниченно»
Мобильные данные > Включите «Разрешение на фоновые данные» и «Использовать данные в режиме экономии трафика»
3. Откройте Настройки > Обслуживание устройства > Батарея > Ограничения в фоновом режиме > Неспящие приложения > Нажмите на плюс + в правом верхнем углу > Найдите и выберите приложение МТС Музыка > нажмите Добавить

Android 11
1. Откройте Настройки > Приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

Разрешения > Отключите «Отзывать разрешения, если приложение не используется»
Батарея > Включите «Разрешение фоновой деятельности»
Батарея > Оптимизация расхода > Нажмите на «Не оптимизированные» > выберите «Все» > Найдите приложение МТС Музыка и нажмите на кнопку переключения напротив
Мобильные данные > Включите «Разрешение на фоновые данные» и «Использовать данные в режиме экономии трафика»
3. Откройте Настройки > Обслуживание устройства > Батарея > Ограничения в фоновом режиме > Неспящие приложения > Нажмите на плюс + в правом верхнем углу > Найдите и выберите приложение МТС Музыка > нажмите Добавить

Android 10
1. Откройте Настройки > Приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

Мобильные данные > Включите «Разрешение на фоновые данные» и «Использовать данные в режиме экономии трафика»
Батарея > Включите «Разрешение фоновой деятельности»
Батарея > Оптимизация расхода > Нажмите на «Не оптимизированные» > выберите «Все» > Найдите приложение МТС Музыка и нажмите на кнопку переключения напротив
3. Откройте Настройки > Обслуживание устройства > Батарея > Мониторинг энергопотребления приложений > Приложения не переход. в режим сна > Нажмите на плюс + в правом верхнем углу > Найдите и выберите приложение МТС Музыка > нажмите Добавить

Android 9
1. Откройте Настройки > Приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

Мобильные данные > Включите «Разрешение на фоновые данные» и  «Использ.прилож.при эконом.траф»
Батарея > Включите «Разрешение фоновой деятельности»
Батарея > Оптимизация расхода > Нажмите на «Не оптимизированные» > выберите «Все» > Найдите приложение МТС Музыка и нажмите на кнопку переключения напротив
Android 8
1. Откройте Настройки > Приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

Мобильные данные > Включите «Разрешение на фоновые данные» и  «Использ.прилож.при эконом.траф»
Батарея > Включите «Разрешение фоновой деятельности»
Батарея > Оптимизация расхода > Нажмите на «Не оптимизированные» > выберите «Все» > Найдите приложение МТС Музыка и нажмите на кнопку переключения напротив
3. Откройте Настройки > Обслуживание устройства > Батарея > Список исключений > Добавить приложение > Найдите и выберите приложение МТС Музыка > нажмите Добавить"
Развлечения,МТС Музыка,Настройка работы в фоновом режиме на Xiaomi,"Если в фоновом режиме приложение закрывается или зависает, чаще всего это из-за настроек энергосбережения на вашем телефоне. Выберите свою версию операционной системы и разверните инструкцию:

Версии выше Android 12
1. Откройте настройки > Приложения > Все приложения > МТС Музыка и там включите:

Автозапуск и Полноэкранный режим
Отображение на экране блокировки
Отображать всплывающие окна, когда запущено в фоновом режиме
Постоянные уведомления
2. В Контроле активности выберите Нет ограничений

3. В Сетевые подключения > выберите Мобильный интернет и Wi-Fi > нажмите ОК

Android 12
1. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

трафик > включите Мобильный интернет, Wi-Fi и Фоновое подключение
включите Автозапуск
разрешения приложений > отключите Удалять разрешения и освобождать место
сетевые подключения > выберите Мобильный интернет и Wi-Fi и нажмите ОК
контроль активностей > выберите Нет ограничений
3. Откройте Настройки > Батарея > нажмите на шестерёнку в правом верхнем углу > Очищать память > Никогда

Android 10
1. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

трафик > включите Мобильный интернет, Wi-Fi и Фоновое подключение
включите Автозапуск
сетевые подключения > выберите Мобильный интернет и Wi-Fi
контроль активностей > выберите Нет ограничений
3. Откройте Настройки > Питание и производительность > нажмите на шестерёнку в правом верхнем углу > Очищать память > Никогда

Android 9
1. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

включите Автозапуск
сетевые подключения > выберите 3G/4G и Wi-Fi
контроль активностей > выберите Нет ограничений
3. Откройте Настройки > Питание и производительность > нажмите на шестерёнку в правом верхнем углу > Очищать память > Никогда

Android 8
1. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2. В настройках приложения МТС Музыка:

включите Автозапуск
сетевые подключения > выберите 3G/4G и Wi-Fi
контроль активностей > выберите Нет ограничений"
Развлечения,МТС Музыка,"Настройка работы в фоновом режиме на OPPO, Realme, Vivo","Если в фоновом режиме приложение закрывается или воспроизведение зависает, чаще всего это связано с настройками энергосбережения на смартфоне.

Чтобы настроить работу в фоновом режиме, используйте инструкцию для вашей операционной системы

Android 12 и выше
1. Откройте Настройки > Приложения > Управление приложениями > МТС Музыка

2. В настройках приложения МТС Музыка:

Разрешения > Отключите «Приостановить работу в неактивный период»
Использование батареи > Включите «Разрешить приоритетное выполнение» и «Разрешить работу в фоновом режиме»
Трафик данных > Включите «Использовать трафик в фоновом режиме»
Android 11
1. Откройте Настройки > Управление приложениями > Список приложений > МТС Музыка

2. В настройках приложения МТС Музыка:

Сведения о расходе трафика > Включите «Использовать трафик в фоновом режиме»
Использование батареи > Включите «Разрешить приоритетное выполнение», «Разрешить работу в фоновом режиме» и «Разрешить автоматический запуск»
Разрешения > Отключите «Отзывать разрешения, если приложение не используется»"
Развлечения,МТС Музыка,"Настройка работы в фоновом режиме на Huawei, Honor","Если в фоновом режиме приложение закрывается или воспроизведение зависает, чаще всего это связано с настройками энергосбережения на смартфоне.

Чтобы настроить работу в фоновом режиме, в настройках вашего смартфона:

В разделе Батарея > Отключите «Режим энергосбережения»
В разделе Батарея > Запуск приложений > Найдите приложение МТС Музыка и отключите кнопку переключения напротив
Во всплывающем окне включите «Автозапуск», «Косвенный запуск» и «Работу в фоновом режиме» и нажмите на кнопку ОК
В разделе Батарея > Другие настройки батареи > Включите «Подключение к сети, когда устройство в спящем режиме»
В разделе Мобильная сеть > Статистика трафика > Отключите «Умная экономия трафика» или включите кнопку переключения напротив приложения МТС Музыка "
Развлечения,МТС Музыка,Какие условия акции МТС Музыка для абонентов МТС,"В рамках акции на большинстве тарифов МТС подключена подписка на МТС Музыку, которая бесплатно действует до 31.12.2025. Акция распространяется на клиентов, у которых нет подписки.

Когда акция закончится, подписка автоматически отключится, платного продления не будет. Чтобы использовать сервис МТС Музыка, скачайте приложение и авторизуйтесь со своим номером.

На каких тарифах доступна акция
На открытых версиях тарифов:

Ultra
МТС Больше
МТС Как хочешь
МТС Проще
МТС Супер
Тариф №0
Тариф №1
Тариф №2
Тариф №3
Тариф №4
Тариф №6
Тариф №7
Тариф №8
Тариф №9
Тариф №10
Тариф №11
Тариф №12
Тариф №112
Весь МТС Промо
Весь МТС Промо Лайт
Весь МТС Промо+
VIP
VIP+
Весь МТС 2Интернета
Весь МТС Супер
Весь МТС Супер ХИТ
МТС для Своих.
Smart Выгодный
Smart Гостевой
МТС для близких
МТС Особый
Больше для своих "
Развлечения,МТС Музыка,На каких тарифах доступна акция МТС Музыка для абонентов МТС,"На каких тарифах доступна акция МТС Музыка для абонентов МТС
На открытых версиях тарифов:

Ultra
МТС Больше
МТС Как хочешь
МТС Проще
МТС Супер
Тариф №0
Тариф №1
Тариф №2
Тариф №3
Тариф №4
Тариф №6
Тариф №7
Тариф №8
Тариф №9
Тариф №10
Тариф №11
Тариф №12
Тариф №112
Весь МТС Промо
Весь МТС Промо Лайт
Весь МТС Промо+
VIP
VIP+
Весь МТС 2Интернета
Весь МТС Супер
Весь МТС Супер ХИТ
МТС для Своих.
Smart Выгодный
Smart Гостевой
МТС для близких
МТС Особый
Больше для своих "
Развлечения,МТС Музыка,Как получить полный доступ к музыке по акции МТС Музыка для абонентов МТС,"1. Откройте приложение МТС Музыка, версия приложения — 9.27 и выше

2. Авторизуйтесь в приложении со своим номером, на котором подключён тариф по условиям акции

Готово! Теперь вы можете слушать любимые треки в приложении МТС Музыка.

На каких тарифах доступна акция

На открытых версиях тарифов:

Ultra
МТС Больше
МТС Как хочешь
МТС Проще
МТС Супер
Тариф №0
Тариф №1
Тариф №2
Тариф №3
Тариф №4
Тариф №6
Тариф №7
Тариф №8
Тариф №9
Тариф №10
Тариф №11
Тариф №12
Тариф №112
Весь МТС Промо
Весь МТС Промо Лайт
Весь МТС Промо+
VIP
VIP+
Весь МТС 2Интернета
Весь МТС Супер
Весь МТС Супер ХИТ
МТС для Своих.
Smart Выгодный
Smart Гостевой
МТС для близких
МТС Особый
Больше для своих "
Развлечения,МТС Музыка,Если у меня уже подключена платная подписка на МТС Музыку,"Акция распространяется на клиентов, у которых нет подписки на сервис МТС Музыка"
Развлечения,МТС Музыка,"Как пользоваться МТС Музыкой, если тариф не входит в условия акции","Есть два способа: 

1. Смените тариф на один из тех, который входит в условия акции

2. Подключите платную подписку на МТС Музыку или МТС Premium, если хотите сохранить текущий тариф

На каких тарифах доступна акция

На открытых версиях тарифов:

Ultra
МТС Больше
МТС Как хочешь
МТС Проще
МТС Супер
Тариф №0
Тариф №1
Тариф №2
Тариф №3
Тариф №4
Тариф №6
Тариф №7
Тариф №8
Тариф №9
Тариф №10
Тариф №11
Тариф №12
Тариф №112
Весь МТС Промо
Весь МТС Промо Лайт
Весь МТС Промо+
VIP
VIP+
Весь МТС 2Интернета
Весь МТС Супер
Весь МТС Супер ХИТ
МТС для Своих.
Smart Выгодный
Smart Гостевой
МТС для близких
МТС Особый
Больше для своих "
Развлечения,МТС Музыка,Сколько нужно платить за подписку в рамках акции МТС Музыка для абонентов МТС,В рамках акции до 31.12.2025 дополнительно оплачивать подписку не нужно
Развлечения,МТС Музыка,"Подхожу под условия акции, но подписка не подключилась","Проверьте версию приложения. Если она ниже 9.27, просто обновите его и попробуйте войти снова войти со своим номером"
Развлечения,МТС Музыка,Сколько будет действовать подписка по акции,"До 31 декабря 2025 года. Когда акция закончится, подписка отключится автоматически"
Развлечения,МТС Музыка,"Что будет с подпиской, когда акция закончится",Подписка автоматически отключится
Развлечения,МТС Live,Что такое МТС Live,"Это сервис для покупки билетов на развлекательные мероприятия — концерты, спектакли, выставки и шоу через приложение или сайт МТС Live 

В нашем сервисе:

большой выбор мероприятий
интересные статьи в разделе LifeStyle
до 20% кешбэка за каждую покупку"
Развлечения,МТС Live,Есть ли наценка на билеты,"При покупке билетов может добавляться сервисный сбор до 10% от их стоимости. Вы увидите его сумму, когда добавите билеты в корзину. 

Если вы сдали билет, деньги за сервисный сбор не вернутся."
Развлечения,МТС Live,"Мне нет 18 лет, могу ли я пойти на мероприятие без взрослых","Дети до 14 лет могут приходить только со взрослыми, кому уже есть 18.

Можно прийти без взрослых, если:

вам от 14 до 17 лет
мероприятие имеет отметку 0+, 6+, 12+ или 16+

Если указана отметка 18+, то даже со взрослыми нельзя."
Развлечения,МТС Live,Как удалить аккаунт в приложении МТС Live,"Для удаления аккаунта в приложения МТС Live напишите нам в Telegram-бот или позвоните по номеру 8 800 250-20-86 

Нам понадобится до 30 дней для удаления всех данных с момента вашего запроса"
Развлечения,МТС Live,Как купить билет,"1. Войдите на сайт или в приложение МТС Live по своему номеру телефона. Это не обязательно, но так вы сможете получать и тратить кешбэк, а также легко находить свои билеты в личном кабинете. Без входа в аккаунт билеты будут только на вашей почте.


2. Выберите мероприятие


3. Выберите дату


4. Выберите места и нажмите Оформить заказ. Если для мероприятия не нужно выбирать места, вы сразу перейдёте к оплате


5. Выберите способ оплаты


6. Введите фамилию, имя и email для получения билетов


7. Нажмите Оплатить. К цене билета может добавляться сервисный сбор до 10% от его стоимости


В течение нескольких минут билеты придут на вашу почту и появятся в личном кабинете, если вы авторизовались при покупке."
Развлечения,МТС Live,Какие документы нужны для посещения театров Москвы и как переоформить билет,"По постановлению Правительства Москвы с 15 марта 2025 для посещения мероприятий некоторых театров Москвы будет нужен документ, подтверждающий личность:

паспорт РФ
свидетельство о рождении, для зрителей младше 14 лет
удостоверение военнослужащего или военный билет 
социальная карта москвича
пенсионное удостоверение
студенческий билет
паспорт иностранного гражданина или другой документ, который подтверждает его личность  
вид на жительство для лица без гражданства РФ
удостоверение беженца
свидетельство о предоставлении временного убежища на территории РФ
Его нужно указать при покупке билета и показать при входе на мероприятие. Данные в билете и документе должны совпадать.

Список театров, куда можно попасть только с документом, удостоверяющим личность 
Что делать, если билет куплен на другое имя
Если при покупке билета требовались только ФИО без документов, по билету может пройти любой человек. 

Если в билете указаны ФИО и документ, но пойдёт другой человек, его нужно переоформить минимум за 10 дней до мероприятия. Как это сделать:

 1. На карточке мероприятия посмотрите, кто организатор


2. Проверьте, есть он в списке ниже:

если есть, то обратитесь туда вместе с человеком, на которого хотите переоформить билет. С собой нужно взять удостоверение личности. Если вы не в Москве, позвоните или напишите в театр. Контакты есть на сайте организатора
если нет, то напишите нам на support@ticketland.ru
Организаторы, у которых можно переоформить билет
Организатор

Контакт

Московский театр «Мастерская П.Н. Фоменко»	fomenkoticket@culture.mos.ru
Москонцерт	tickettable@mail.ru
Московский академический театр им. Маяковского	mayak.bilet@mail.ru
Московский академический театр сатиры	kassa-satira@culture.mos.ru
Московский театр Юного Зрителя	zriteli.mtuz@mail.ru
Московский детский музыкально-драматический театр	bilet@pokolenie-teatr.ru
Театр «Уголок дедушки Дурова»	ticket2@uddmos.ru
Московский театральный центр «Вишневый сад» 	vishnsad@yandex.ru
Детский Музыкальный Театр Юного Актера. Сцена Театр Русская драма	kamsc74@mail.ru 
Московский театр «У Никитских ворот»	irsh76@mail.ru
Московский театр музыки и драмы под руководством Стаса Намина	tais.zak@yandex.ru
Театр «Центр драматургии и режиссуры»	 
Театр Музыки и Поэзии под руководством Е.Камбуровой	semi-cvetik-70@mail.ru
Театр на Покровке	tor1420@yandex.ru
Московский музыкальный театр для детей и юношества «На Басманной»	krylovaMA3@culture.mos.ru
Центр оперного пения имени Галины Вишневской	artobilet@yandex.ru
Современный театр антрепризы 	bilet@sa-teatr.ru
Театр имени Евгения Вахтангова 	theatre@vakhtangov.ru 
ДМТЮА. Сцена Театр Русская драма 	kamsc74@mail.ru 
Театр Сац	tkeser@mail.ru
ООО М-арт	mart-bilety@mail.ru
ООО Агентство НТП 	 
ИП Яковлев 	teleteatr@inbox.ru
ИП Алешинская	teleteatr@inbox.ru
ООО Арт-монополия	teleteatr@inbox.ru
ООО Оркестра	teleteatr@inbox.ru
Фонд Безрукова ИП Безруков	teatrbezrukova-bilet@bk.ru
ООО Альянс-ТА	vip-teatr@mail.ru
НП Театральный фестиваль Чехова	tickets@chekhovfest.ru
ООО Агентство Независимый театральный проект 	all@teatrntp.ru "
Развлечения,МТС Live,Как оплатить билет Пушкинской картой,"Пушкинская карта — это специальная карта от государства для молодёжи от 14 до 22 лет. На ней есть 5 000 ₽, которые можно потратить на посещение театров, музеев, концертов и выставок. 

На сайте МТС Live есть отдельный раздел с мероприятиями, которые можно оплатить этой картой


В приложении МТС Live выберите фильтр Пушкинская карта, чтобы найти подходящие мероприятия


Как оплатить билет Пушкинской картой
1. При оплате выберите Оплата Пушкинской картой


2. Введите ФИО, email и номер телефона, а затем нажмите Оплатить


3. Введите данные Пушкинской карты и нажмите Оплатить


Когда пойдёте на мероприятие, возьмите с собой паспорт. Его нужно будет показать на входе, потому что только владелец Пушкинской карты может пройти по этому билету."
Развлечения,МТС Live,Где найти купленные билеты,"Мы отправляем билеты на email и сохраняем в аккаунте, если вы вошли в него перед покупкой. Как найти билеты:

на почте перейдите в папку Входящие. Письмо придёт от МТС Live или наших партнёров Рамблер/касса, Ticketland

Билеты приходят на почту в течение нескольких минут.

в приложении перейдите в раздел Мои билеты

на сайте МТС Live откройте свой профиль и перейдите в раздел Мои билеты

Если билеты не пришли, попробуйте следующее:

проверьте папки Спам, Промоакции или Рассылки
введите название мероприятие через поиск
если окно браузера со страницей покупки ещё открыто — перепроверьте адрес почты
Если билеты не нашлись или была ошибка в email, напишите нам в Telegram или позвоните по номеру 8 800 250-20-86. Мы поможем их найти."
Развлечения,МТС Live,Как пользоваться электронным билетом,"Билет можно показать на экране телефона, печатать его не обязательно. Если предпочитаете бумажный вариант, или не уверены, что сможете использовать телефон, то распечатайте и покажите его. 

Если покупали билет по Пушкинской карте, возьмите с собой паспорт — его проверят на входе. Только владелец Пушкинской карты может пройти по этому билету.

Не выкладывайте билет в интернет. Кто-то может скопировать штрихкод и попасть на мероприятие вместо вас."
Развлечения,МТС Live,"Что делать, если билет не пришёл на почту","Понимаем, что может быть волнительно, когда билет не приходит сразу. Вот несколько шагов, чтобы найти письмо с билетами:

проверьте папки Спам, Промоакции или Рассылки
введите название мероприятия через поиск
если окно браузера со страницей покупки ещё открыто — перепроверьте адрес почты
Если билеты не нашлись или была ошибка в email, напишите нам в Telegram или позвоните по номеру 8 800 250-20-86. Мы поможем найти билеты."
Развлечения,МТС Live,"Как вернуть билет, если не получается пойти на мероприятие","Если не получится пойти, можно вернуть билеты и получить деньги назад.

Условия возврата
за 10 дней и более до мероприятия — вернём 90% от цены билета 
за 5-9 дней до мероприятия — 50% 
за 3-4 дня до мероприятия — 30% 
менее чем за 3 дня — возврат невозможен, если организатор не указал другие условия
Деньги вернутся в течение 30 дней, но обычно это происходит быстрее. Всё зависит от вашего банка. 

Как вернуть билеты
Если при покупке вы вошли в аккаунт, то можете оформить возврат на сайте или в приложении МТС Live. Как это сделать:

На сайте
1. В Профиле перейдите в раздел Мои билеты


2. Нажмите Оформить возврат


В приложении
1. Перейдите в раздел Мои билеты


2. Выберите билет, который нужно вернуть


3. Нажмите кнопку Билеты


4. Нажмите Оформить возврат


В случаях, если:

вы не вошли в аккаунт при покупке билетов
через личный кабинет вернуть билеты не получилось
хотите вернуть только часть билетов
не можете посетить мероприятие из-за своей болезни или смерти родственника
позвоните нам по номеру 8 800 250-20-86. Либо пришлите нам на почту vozvrat@ticketland.ru:

заявление, где все поля заполнены от руки.  Вот готовый образец, который вы можете использовать как пример
фото или скриншоты билетов
фото или скриншот чека
если причина — ваша болезнь или смерть близкого родственника, приложите больничный лист или свидетельство о смерти"
Развлечения,МТС Live,"Что делать, если мероприятие отменили","Если мероприятие отменено, деньги и списанный кешбэк вернутся в течение 30 рабочих дней. Об отмене мероприятия мы напишем:

на электронную почту, которую вы указывали при оформлении заказа
на сайте Ticketland в разделе Изменения в репертуаре"
Развлечения,МТС Live,"Что делать, если мероприятие перенесли","Иногда мероприятия переносятся на другую дату или новое место. Мы обязательно предупредим вас об этом. Напишем:

на электронную почту, которую вы указывали при оформлении заказа
на сайте Ticketland в разделе Изменения в репертуаре
Вы можете использовать уже купленные билеты на новую дату или место. 

Если не получится пойти, можно вернуть билеты и получить деньги назад. 

Как вернуть билеты
Если при покупке вы вошли в аккаунт, то можете оформить возврат на сайте или в приложении МТС Live. Как это сделать:

На сайте
1. В Профиле перейдите в раздел Мои билеты


2. Нажмите Оформить возврат


В приложении
1. Перейдите в раздел Мои билеты


2. Выберите билет, который нужно вернуть


3. Нажмите кнопку Билеты


4. Нажмите Оформить возврат


В случаях, если:

вы не вошли в аккаунт при покупке билетов
через личный кабинет вернуть билеты не получилось
хотите вернуть только часть билетов
не можете посетить мероприятие из-за своей болезни или смерти родственника
позвоните нам по номеру 8 800 250-20-86. Либо пришлите на почту vozvrat@ticketland.ru:

заявление, где все поля заполнены от руки.  Вот готовый образец, который вы можете использовать как пример
фото или скриншоты билетов
фото или скриншот чека
если причина — ваша болезнь или смерть близкого родственника, приложите больничный лист или свидетельство о смерти"
